-312,21,422
-311,17,44
-311,13,120
-309,10,2
-306,8,78
-307,5,228
-305,5,300
-303,2,100
-300,1,202
-302,1,68
-303,-3,60
-306,-5,30
-309,-5,60
-310,-9,150
-310,-14,400
-305,-14,122
-304,-17,303
-306,-16,304
-308,-15,68
-311,-14,45
-312,-11,40
-314,-8,120
-314,-3,16
-314,1,138
-313,5,86
-315,6,456
-317,3,69
-320,1,108
-325,1,90
-327,1,224
-327,3,154
-332,1,75
-333,1,241
-336,0,200
-337,-2,60
-337,-6,50
-341,-6,60
-341,-9,204
-345,-5,216
-349,-6,20
-352,-7,50
-356,-7,200
-358,-4,8
-361,-3,160
-364,-2,102
-367,0,60
-370,-2,300
-371,1,450
-372,1,403
-370,2,83
-370,6,316
-370,9,32
-368,12,106
-365,14,200
-361,13,300
-368,15,106
-369,19,400
-369,23,60
-370,26,67
-370,29,212
-365,29,400
-373,30,80
-376,32,82
-380,31,0
-384,32,152
-384,28,202
-387,35,26
-388,36,130
-390,39,20
-390,41,12
-393,43,245
-394,47,150
-395,47,310
-396,51,648
-396,55,102
-397,57,138
-399,59,212
-400,63,24
-403,65,210
-402,69,44
-403,72,270
-403,77,102
-406,78,60
-407,80,160
-408,83,40
-408,85,100
-407,87,42
-405,89,320
-405,88,300
-405,87,69
-410,87,237
-412,85,65
-414,83,200
-414,78,2
-414,76,211
-419,78,330
-419,81,170
-419,85,166
-423,86,150
-424,88,141
-425,90,120
-424,94,180
-423,95,140
-423,100,102
-424,103,600
-423,101,120
-425,98,80
-426,96,150
-428,93,100
-429,90,175
-432,88,80
-432,85,110
-434,81,86
-438,83,300
-441,81,200
-443,80,80
-445,79,600
-445,83,95
-445,87,128
-444,90,84
-444,94,85
-442,97,800
-445,97,90
-450,96,203
-455,95,109
-458,93,75
-456,90,200
-458,90,150
-461,92,168
-465,90,60
-468,91,400
-469,93,261
-468,97,800
-470,91,78
-475,91,55
-478,93,200
-480,94,300
-478,97,104
-483,97,650
-484,101,334
-482,100,150
-479,100,120
-474,100,80
-473,99,200
-469,100,34
-469,102,217
-465,103,214
-463,104,160
-463,107,150
-464,111,224
-460,111,346
-466,111,16
-468,113,200
-469,117,64
-471,117,228
-475,116,32
-478,117,132
-482,118,39
-485,116,146
-488,119,200
-488,121,450
-486,123,32
-484,124,30
-481,126,158
-479,127,202
-479,128,200
-478,130,400
-475,131,154
-473,131,162
-470,133,120
-468,131,73
-468,129,192
-468,125,324
-469,121,300
-464,125,80
-457,127,88
-453,127,320
-453,132,80
-452,134,83
-451,136,326
-447,135,400
-455,137,12
-457,140,410
-458,143,192
-453,143,400
-450,142,300
-449,141,818
-448,145,120
-446,147,460
-443,148,224
-440,149,612
-439,146,60
-435,145,52
-431,144,240
-431,143,316
-429,144,64
-428,148,224
-426,147,200
-425,148,612
-425,145,228
-425,141,400
-423,145,216
-422,146,200
-419,143,122
-417,140,212
-415,136,133
-412,134,710
-417,134,55
-418,131,100
-422,131,268
-417,131,115
-415,129,300
-416,125,10
-416,120,300
-420,121,103
-422,119,160
-422,114,400
-421,111,405
-419,112,172
-415,111,200
-414,108,136
-411,107,98
-410,103,28
-408,100,300
-404,99,400
-406,101,162
-406,106,114
-407,108,200
-408,109,600
-412,109,202
-410,111,308
-409,114,56
-409,119,14
-409,122,300
-408,124,10
-408,127,75
-406,130,354
-402,130,14
-398,131,200
-396,128,38
-394,126,640
-395,125,160
-395,121,42
-398,119,409
-397,117,74
-396,115,245
-394,117,343
-390,116,72
-389,116,100
-385,117,115
-382,118,400
-381,119,415
-381,114,116
-380,110,8
-380,105,121
-379,102,224
-374,102,60
-371,104,330
-370,106,160
-367,108,8
-365,110,65
-365,112,316
-363,109,160
-363,107,400
-363,102,20
-363,99,400
-358,102,2
-355,103,32
-351,102,50
-348,104,490
